country,year,region,population,life_expectancy,age5_surviving,babies_per_woman,gdp_per_capita,gdp_per_day
Afghanistan,1990,Asia,12067570.0,49.5,81.89999999999999,7.69,1028.0,2.8145106091718
Afghanistan,1991,Asia,12789374.0,49.3,82.58,7.7,1022.0,2.798083504449008
Afghanistan,1992,Asia,13745630.0,49.4,83.22,7.73,941.0,2.5763175906913074
Afghanistan,1993,Asia,14824371.0,49.5,83.8,7.76,810.0,2.217659137577002
Afghanistan,1994,Asia,15869967.0,48.9,84.32,7.8,725.0,1.9849418206707732
Afghanistan,1995,Asia,16772522.0,49.4,84.77,7.83,872.0,2.3874058863791925
Afghanistan,1996,Asia,17481800.0,49.7,85.14,7.86,895.0,2.4503764544832305
Afghanistan,1997,Asia,18034130.0,49.5,85.45,7.87,921.0,2.521560574948665
Afghanistan,1998,Asia,18511480.0,48.6,85.74,7.85,947.0,2.5927446954141
Afghanistan,1999,Asia,19038420.0,50.0,86.00999999999999,7.81,972.0,2.6611909650924024
Afghanistan,2000,Asia,19701940.0,50.1,86.3,7.73,962.0,2.6338124572210813
Afghanistan,2001,Asia,20531160.0,50.4,86.61999999999999,7.62,862.0,2.360027378507872
Afghanistan,2002,Asia,21487079.0,51.0,86.97,7.48,1053.0,2.8829568788501025
Afghanistan,2003,Asia,22507368.0,51.4,87.32,7.32,1097.0,3.0034223134839158
Afghanistan,2004,Asia,23499850.0,51.8,87.68,7.14,1067.0,2.921286789869952
Afghanistan,2005,Asia,24399948.0,52.0,88.03999999999999,6.93,1146.0,3.137577002053388
Afghanistan,2006,Asia,25183615.0,52.1,88.37,6.7,1173.0,3.2114989733059547
Afghanistan,2007,Asia,25877544.0,52.4,88.68,6.46,1298.0,3.553730321697468
Afghanistan,2008,Asia,26528741.0,52.8,88.96,6.2,1311.0,3.589322381930185
Afghanistan,2009,Asia,27207291.0,53.3,89.24,5.93,1548.0,4.238193018480493
Afghanistan,2010,Asia,27962207.0,53.6,89.5,5.66,1637.0,4.48186173853525
Afghanistan,2011,Asia,28809167.0,54.0,89.77,5.4,1695.0,4.640657084188912
Afghanistan,2012,Asia,29726803.0,54.4,90.05,5.14,1893.0,5.182751540041068
Afghanistan,2013,Asia,30682500.0,54.8,90.33,4.9,1884.0,5.158110882956879
Afghanistan,2014,Asia,31627506.0,54.9,90.61,4.68,1877.0,5.138945927446954
Afghanistan,2015,Asia,32526562.0,53.8,90.89,4.47,1925.0,5.270362765229295
Germany,1990,Europe,78958237.0,75.4,99.15,1.36,31476.0,86.17659137577002
Germany,1991,Europe,79483739.0,75.6,99.2,1.34,32844.0,89.92197125256673
Germany,1992,Europe,80075940.0,76.0,99.24,1.32,33221.0,90.95414099931554
Germany,1993,Europe,80675999.0,76.1,99.28,1.31,32689.0,89.49760438056126
Germany,1994,Europe,81206786.0,76.4,99.32,1.31,33375.0,91.37577002053388
Germany,1995,Europe,81612900.0,76.6,99.35,1.31,33843.0,92.65708418891172
Germany,1996,Europe,81870772.0,76.9,99.38,1.32,34008.0,93.10882956878852
Germany,1997,Europe,81993831.0,77.3,99.41,1.33,34578.0,94.6694045174538
Germany,1998,Europe,82010184.0,77.6,99.43,1.34,35254.0,96.5201916495551
Germany,1999,Europe,81965830.0,77.8,99.45,1.35,35931.0,98.37371663244352
Germany,2000,Europe,81895925.0,78.1,99.46,1.35,36953.0,101.17180013689254
Germany,2001,Europe,81809438.0,78.4,99.48,1.35,37517.0,102.71594798083504
Germany,2002,Europe,81699829.0,78.6,99.49,1.35,37458.0,102.55441478439424
Germany,2003,Europe,81569481.0,78.8,99.5,1.35,37167.0,101.7577002053388
Germany,2004,Europe,81417791.0,79.2,99.51,1.35,37614.0,102.98151950718686
Germany,2005,Europe,81246801.0,79.4,99.53,1.35,37901.0,103.76728268309375
Germany,2006,Europe,81055904.0,79.7,99.54,1.36,39352.0,107.73990417522243
Germany,2007,Europe,80854515.0,79.9,99.55,1.36,40693.0,111.4113620807666
Germany,2008,Europe,80665906.0,80.0,99.56,1.37,41199.0,112.79671457905545
Germany,2009,Europe,80519685.0,80.1,99.57,1.38,38975.0,106.70773442847364
Germany,2010,Europe,80435307.0,80.3,99.58,1.39,40632.0,111.24435318275154
Germany,2011,Europe,80424665.0,80.5,99.59,1.4,42080.0,115.20876112251882
Germany,2012,Europe,80477952.0,80.6,99.6,1.41,42959.0,117.61533196440794
Germany,2013,Europe,80565861.0,80.7,99.61,1.42,42887.0,117.41820670773444
Germany,2014,Europe,80646262.0,80.7,99.62,1.43,43444.0,118.943189596167
Germany,2015,Europe,80688545.0,80.8,99.63,1.44,44053.0,120.61054072553046
Italy,1990,Europe,57007577.0,77.0,99.04,1.3,30746.0,84.17796030116358
Italy,1991,Europe,57029614.0,77.0,99.07,1.29,31198.0,85.4154688569473
Italy,1992,Europe,57062760.0,77.3,99.11,1.28,31437.0,86.06981519507187
Italy,1993,Europe,57097411.0,77.6,99.15,1.26,31149.0,85.28131416837782
Italy,1994,Europe,57119163.0,77.8,99.2,1.25,31813.0,87.09924709103353
Italy,1995,Europe,57120136.0,78.1,99.25,1.24,32731.0,89.6125941136208
Italy,1996,Europe,57091906.0,78.3,99.3,1.23,33143.0,90.74058863791925
Italy,1997,Europe,57044614.0,78.7,99.34,1.22,33733.0,92.35592060232716
Italy,1998,Europe,57010940.0,78.9,99.38,1.22,34269.0,93.82340862422998
Italy,1999,Europe,57035249.0,79.3,99.41,1.21,34798.0,95.27173169062286
Italy,2000,Europe,57147081.0,79.6,99.45,1.22,36073.0,98.7624914442163
Italy,2001,Europe,57359179.0,79.8,99.48,1.23,36692.0,100.45722108145108
Italy,2002,Europe,57655677.0,80.1,99.5,1.25,36729.0,100.55852156057496
Italy,2003,Europe,58002003.0,80.1,99.53,1.27,36622.0,100.26557152635182
Italy,2004,Europe,58348332.0,80.9,99.55,1.29,36962.0,101.19644079397672
Italy,2005,Europe,58657355.0,81.1,99.56,1.32,37130.0,101.65639972621491
Italy,2006,Europe,58918471.0,81.2,99.57,1.34,37761.0,103.38398357289527
Italy,2007,Europe,59138599.0,81.3,99.58,1.37,38125.0,104.38056125941137
Italy,2008,Europe,59319234.0,81.5,99.59,1.39,37475.0,102.6009582477755
Italy,2009,Europe,59467196.0,81.6,99.59,1.42,35260.0,96.5366187542779
Italy,2010,Europe,59588007.0,81.9,99.6,1.44,35753.0,97.88637919233402
Italy,2011,Europe,59678993.0,82.0,99.61,1.45,35901.0,98.29158110882958
Italy,2012,Europe,59737717.0,82.0,99.63,1.47,34813.0,95.31279945242984
Italy,2013,Europe,59771094.0,82.1,99.64,1.49,33827.0,92.6132785763176
Italy,2014,Europe,59788667.0,82.1,99.65,1.5,33078.0,90.56262833675564
Italy,2015,Europe,59797685.0,82.2,99.66,1.52,33297.0,91.16221765913758
Japan,1990,Asia,122249285.0,79.0,99.37,1.57,29550.0,80.9034907597536
Japan,1991,Asia,122702527.0,79.1,99.38,1.54,30437.0,83.33196440793976
Japan,1992,Asia,123180357.0,79.3,99.39,1.5,30610.0,83.80561259411363
Japan,1993,Asia,123658854.0,79.4,99.4,1.47,30587.0,83.74264202600958
Japan,1994,Asia,124101546.0,79.8,99.41,1.44,30746.0,84.17796030116358
Japan,1995,Asia,124483305.0,79.7,99.43,1.41,31224.0,85.48665297741273
Japan,1996,Asia,124794817.0,80.2,99.45,1.39,31958.0,87.49623545516769
Japan,1997,Asia,125048424.0,80.4,99.48,1.37,32391.0,88.68172484599589
Japan,1998,Asia,125266403.0,80.5,99.5,1.35,31656.0,86.6694045174538
Japan,1999,Asia,125481050.0,80.6,99.53,1.34,31535.0,86.33812457221082
Japan,2000,Asia,125714674.0,81.0,99.55,1.32,32193.0,88.13963039014374
Japan,2001,Asia,125974298.0,81.3,99.57,1.31,32230.0,88.24093086926763
Japan,2002,Asia,126249509.0,81.6,99.59,1.3,32248.0,88.290212183436
Japan,2003,Asia,126523884.0,81.7,99.6,1.3,32721.0,89.58521560574948
Japan,2004,Asia,126773081.0,81.9,99.61,1.3,33483.0,91.67145790554414
Japan,2005,Asia,126978754.0,82.0,99.63,1.31,33916.0,92.85694729637235
Japan,2006,Asia,127136576.0,82.2,99.64,1.32,34468.0,94.36824093086926
Japan,2007,Asia,127250015.0,82.4,99.65,1.33,35183.0,96.32580424366871
Japan,2008,Asia,127317900.0,82.5,99.66,1.34,34800.0,95.27720739219713
Japan,2009,Asia,127340884.0,82.7,99.67,1.36,32880.0,90.02053388090349
Japan,2010,Asia,127319802.0,82.7,99.68,1.37,34404.0,94.1930184804928
Japan,2011,Asia,127252900.0,82.6,99.66,1.39,34316.0,93.95208761122518
Japan,2012,Asia,127139821.0,82.9,99.7,1.41,34988.0,95.79192334017796
Japan,2013,Asia,126984964.0,83.0,99.71,1.42,35614.0,97.50581793292264
Japan,2014,Asia,126794564.0,83.1,99.72,1.43,35635.0,97.56331279945243
Japan,2015,Asia,126573481.0,83.2,99.73,1.45,36162.0,99.00616016427104
Russia,1990,Europe,147568552.0,69.2,97.4,1.89,19349.0,52.97467488021903
Russia,1991,Europe,148040354.0,69.1,97.41,1.73,18332.0,50.19028062970568
Russia,1992,Europe,148322473.0,68.0,97.39,1.55,15661.0,42.87748117727584
Russia,1993,Europe,148435811.0,65.2,97.37,1.37,14320.0,39.20602327173169
Russia,1994,Europe,148416292.0,63.8,97.36,1.4,12535.0,34.31895961670089
Russia,1995,Europe,148293265.0,64.4,97.36,1.34,12013.0,32.889801505817935
Russia,1996,Europe,148078355.0,65.7,97.4,1.27,11597.0,31.750855578370977
Russia,1997,Europe,147772805.0,67.0,97.44,1.22,11779.0,32.24914442162902
Russia,1998,Europe,147385440.0,67.2,97.5,1.23,11173.0,30.590006844626966
Russia,1999,Europe,146924174.0,65.9,97.58,1.16,11925.0,32.648870636550306
Russia,2000,Europe,146400951.0,65.1,97.68,1.2,13173.0,36.06570841889117
Russia,2001,Europe,145818121.0,65.1,97.8,1.22,13902.0,38.06160164271047
Russia,2002,Europe,145195521.0,64.9,97.93,1.29,14629.0,40.05201916495551
Russia,2003,Europe,144583147.0,64.7,98.07,1.33,15768.0,43.17043121149897
Russia,2004,Europe,144043914.0,65.1,98.2,1.34,16967.0,46.45311430527036
Russia,2005,Europe,143622566.0,65.1,98.33,1.29,18118.0,49.60438056125941
Russia,2006,Europe,143338407.0,66.7,98.45,1.3,19660.0,53.82614647501711
Russia,2007,Europe,143180249.0,67.7,98.56,1.41,21374.0,58.51882272416153
Russia,2008,Europe,143123163.0,67.9,98.65,1.49,22506.0,61.61806981519507
Russia,2009,Europe,143126660.0,68.8,98.73,1.54,20739.0,56.780287474332646
Russia,2010,Europe,143158099.0,68.9,98.8,1.57,21664.0,59.31279945242984
Russia,2011,Europe,143211476.0,69.8,98.86,1.58,22570.0,61.79329226557152
Russia,2012,Europe,143287536.0,70.4,98.92,1.59,23299.0,63.78918548939083
Russia,2013,Europe,143367341.0,70.8,98.96,1.6,23561.0,64.50650239561944
Russia,2014,Europe,143429435.0,70.9,99.01,1.6,23293.0,63.77275838466804
Russia,2015,Europe,143456918.0,71.0,99.04,1.61,23038.0,63.07460643394935
United States,1990,America,252847810.0,75.4,98.88,2.07,37062.0,101.47022587268994
United States,1991,America,255367160.0,75.5,98.91,2.06,36543.0,100.04928131416838
United States,1992,America,257908206.0,75.8,98.95,2.04,37321.0,102.17932922655716
United States,1993,America,260527420.0,75.7,98.99,2.02,37844.0,103.61122518822724
United States,1994,America,263301323.0,75.8,99.02,2.0,38892.0,106.48049281314168
United States,1995,America,266275528.0,75.9,99.05,1.98,39476.0,108.07939767282684
United States,1996,America,269483224.0,76.3,99.08,1.98,40501.0,110.88569472963724
United States,1997,America,272882865.0,76.6,99.11,1.97,41812.0,114.47501711156742
United States,1998,America,276354096.0,76.8,99.13,2.0,43166.0,118.18206707734429
United States,1999,America,279730801.0,76.9,99.14,2.01,44673.0,122.30800821355236
United States,2000,America,282895741.0,76.9,99.16,2.05,45986.0,125.9028062970568
United States,2001,America,285796198.0,76.9,99.17,2.03,45978.0,125.88090349075976
United States,2002,America,288470847.0,77.1,99.18,2.02,46367.0,126.94592744695414
United States,2003,America,291005482.0,77.3,99.19,2.05,47260.0,129.3908281998631
United States,2004,America,293530886.0,77.6,99.19,2.06,48597.0,133.0513347022587
United States,2005,America,296139635.0,77.6,99.2,2.06,49762.0,136.24093086926763
United States,2006,America,298860519.0,77.8,99.21,2.11,50599.0,138.5325119780972
United States,2007,America,301655953.0,78.1,99.22,2.12,51011.0,139.6605065023956
United States,2008,America,304473143.0,78.3,99.23,2.07,50384.0,137.9438740588638
United States,2009,America,307231961.0,78.5,99.25,2.0,48558.0,132.94455852156057
United States,2010,America,309876170.0,78.8,99.26,1.93,49373.0,135.17590691307325
United States,2011,America,312390368.0,78.9,99.28,1.9,49781.0,136.29295003422314
United States,2012,America,314799465.0,79.0,99.29,1.9,50549.0,138.3956194387406
United States,2013,America,317135919.0,79.1,99.31,1.98,51282.0,140.4024640657084
United States,2014,America,319448634.0,79.1,99.33,1.97,52118.0,142.69130732375086
United States,2015,America,321773631.0,79.1,99.35,1.97,53354.0,146.07529089664612
